TAIR	log2fc	pvalue	fdr	significant
AT1G13990	-0.3650808717076419	0.17342136719421442	0.45191045321307893	False
AT1G14000	-0.3114122795338864	0.000105255427163075	0.003356536518030403	True
AT1G14010	-0.17666264626011463	0.22664086936855876	0.5185691215424341	False
AT1G14020	-0.11202123110588678	0.40946913358225334	0.6906083964458933	False
AT1G14030	0.2475070146788639	0.057705622311694696	0.24421653893024312	False
AT1G14040	0.2815444016992989	0.17113372347391265	0.44842836693333726	False
AT1G14060	0.1470528320620496	0.5118826809895256	0.7613432471425061	False
AT1G14100	1.6237026150049592	0.428877848424844		False
AT1G14120	0.04324187872586776	0.905550256575092	0.9640561327035042	False
AT1G14130	-0.04422406251260894	0.8636294438786499	0.9463635212536256	False
AT1G14140	0.14572441262254446	0.3920852454147916	0.6772900848915384	False
AT1G14150	-0.313687193611412	0.0687227841225569	0.2704426996297821	False
AT1G14170	0.12283049831288313	0.6588037996507544	0.8456581486715928	False
AT1G14180	0.371936849322977	0.07011643512258624	0.27335083896388523	False
AT1G14185	0.19212253266344817	0.562087349021513	0.7943579841555888	False
AT1G14190	0.6853133345415284	0.019995699051334193	0.1293229197346162	False
AT1G14200	0.1944711687447364	0.5385645930230079	0.7780921620940211	False
AT1G14205	1.0998720399373767	1.3991822714069688e-05	0.0007378524583868165	True
AT1G14210	-0.6148272653932716	0.011987085070824754	0.09367182328899651	False
AT1G14230	-0.15376472552484033	0.2722949825552694	0.5689372405536361	False
AT1G14240	2.9693875874853055	0.2052547053375683		False
AT1G14250	-1.46191659835281	0.5182415534627023		False
AT1G14260	0.05207575468493423	0.9037170655902744	0.9631242647400902	False
AT1G14270	0.11518674244086873	0.29041461988468475	0.5880654561482839	False
AT1G14280	0.4909679895751677	0.004506416043506771	0.04889752388588903	True
AT1G14290	0.5607553269623494	0.016967056292574428	0.11689424700677391	False
AT1G14300	0.20461016920739758	0.10766294766915159	0.34962360446961416	False
AT1G14310	-0.13571383946717552	0.3917861694080019	0.677072386143234	False
AT1G14320	0.16314899433760086	0.1784322244943457	0.45776459003769415	False
